1	3166	1
1	3399	1
1	340	1
1	1237	1
1	2850	1
1	4862	1
1	4195	1
1	4507	1
1	2220	1
1	375	1
1	1611	1
1	4013	1
1	4941	2
1	4817	1
1	3417	1
1	3902	1
1	1324	1
1	469	1
1	1907	1
1	734	1
1	3862	1
1	667	1
1	4879	1
1	3250	7
1	3740	1
1	3689	1
1	2671	1
1	4618	1
1	4736	1
1	1863	1
1	725	1
1	4492	1
1	4617	1
1	4918	1
1	633	1
1	1748	1
1	3583	1
1	1654	1
1	2182	1
1	763	2
1	1615	2
1	4303	2
1	777	2
1	269	1
1	4695	2
1	2398	1
1	4957	1
1	1899	3
1	4784	1
1	1479	2
1	1527	1
1	1819	1
1	4938	1
1	2659	1
1	644	1
1	3358	1
1	4926	1
1	2158	1
1	4012	1
1	3254	1
1	759	1
1	3910	1
1	1578	1
1	2434	1
1	1933	1
1	2575	1
1	4945	1
1	3251	1
1	3723	2
1	3647	1
1	3207	1
1	2313	1
1	596	1
1	1788	1
1	521	1
1	1219	1
1	4465	1
1	2401	1
1	1983	1
1	1745	1
1	480	1
1	4402	1
2	4521	1
2	870	1
2	3967	1
2	319	1
2	2530	1
2	758	1
2	4966	1
2	662	4
2	3639	1
2	1483	1
2	394	1
2	3614	1
2	3550	2
2	1769	2
2	407	1
2	1729	1
2	1290	1
2	1191	1
2	608	1
2	3753	1
2	4941	1
2	3741	1
2	2143	1
2	1333	1
2	369	1
2	1466	1
2	1650	1
2	1254	1
2	2363	1
3	1611	1
3	3530	1
3	3064	1
3	411	1
3	856	2
3	3452	1
3	2942	1
3	3404	1
3	3366	1
3	398	1
4	4142	1
4	3155	1
4	267	1
4	4101	1
4	2736	1
4	4524	1
4	1960	1
4	4674	1
4	2148	1
4	4819	1
4	715	1
4	2307	1
4	1771	1
4	3640	1
4	856	4
4	2678	1
4	3892	1
4	4240	1
4	3119	1
4	638	1
4	3639	1
4	2419	1
4	411	1
4	720	1
4	4941	1
4	2469	1
4	3817	1
4	2642	1
4	4208	1
4	2200	1
4	3125	1
4	1281	1
5	3612	1
5	326	1
5	2738	1
5	4506	1
5	4504	1
5	2612	1
5	2457	1
5	4503	1
5	4527	1
5	4636	1
5	702	1
5	3887	1
5	595	1
5	1123	1
5	1996	1
5	3731	2
5	3428	1
5	1752	1
5	3765	1
5	4942	1
5	3541	1
5	4042	1
5	2793	1
5	2165	1
5	2063	1
5	2419	1
5	2295	1
5	4950	1
5	4339	1
5	2481	1
5	4848	1
5	3040	1
5	3537	1
5	907	1
5	4610	1
6	4717	1
6	2991	1
6	345	3
6	4066	1
6	1541	1
6	2358	1
6	253	1
6	4952	1
6	724	1
6	1702	1
6	1284	1
6	3178	1
6	3894	1
6	2052	1
6	4432	1
6	1109	1
6	4941	1
6	3537	1
6	2510	1
6	3969	1
6	3543	1
6	3818	1
6	1642	1
6	2314	1
6	3693	1
6	2337	1
6	1151	3
6	963	2
6	3971	1
6	1611	1
6	608	1
6	4550	1
6	395	2
6	512	1
6	662	3
6	1402	1
6	3228	1
6	3811	1
6	1673	1
6	498	1
6	1911	1
6	1882	1
6	3096	1
6	2189	1
6	1342	1
6	4554	2
6	1683	1
6	4896	1
6	4702	1
6	2461	1
6	3054	1
6	2300	1
6	3001	1
6	546	1
7	1013	1
7	2720	1
7	3987	1
7	4330	1
7	2437	1
7	1039	1
7	1611	1
7	4896	1
7	1318	2
7	4291	1
7	1151	3
7	2583	1
7	3009	1
7	1704	1
7	2134	1
7	3461	1
7	3445	1
7	1837	1
7	2925	1
7	1148	1
7	4768	1
7	4911	1
7	3334	1
7	662	5
7	1468	1
7	4602	1
7	4013	1
7	879	1
7	2703	1
7	3794	1
7	3796	1
7	603	2
7	3864	1
7	4110	1
7	1350	1
7	358	1
7	4192	1
7	3850	1
7	1337	1
7	1849	1
7	3391	1
7	4512	1
7	2143	1
7	3863	1
7	1934	1
7	3483	1
7	3593	1
7	1817	1
7	1482	1
7	2110	1
7	3342	1
7	3918	1
7	3713	1
7	4836	1
7	1411	1
7	3890	1
7	1836	1
7	1419	1
7	4703	1
7	3876	1
7	3712	1
7	3352	1
7	4711	1
7	3881	1
7	3341	1
7	4807	1
7	1320	1
7	2144	1
8	360	1
8	988	1
8	2778	1
8	3176	1
8	855	1
8	3821	1
8	2723	1
8	2440	1
8	4044	1
8	608	1
8	1839	1
8	493	1
8	3788	1
8	4746	1
8	565	1
8	1507	1
8	1064	2
8	2687	1
8	3914	1
8	4982	1
8	2588	1
8	1464	2
8	2164	1
8	1040	1
8	1120	1
8	744	3
8	1888	1
8	3114	1
8	1290	1
8	1455	1
8	1566	1
8	3915	1
8	3670	2
8	4557	1
8	3080	1
8	4327	1
8	2904	1
8	3273	1
8	1548	1
8	3537	2
8	1425	1
8	4713	2
8	4220	1
8	4917	1
8	4754	1
8	2808	1
8	1756	1
8	4221	1
8	3437	1
8	4210	1
8	492	1
8	1740	3
8	1116	1
8	4857	1
8	3764	1
8	3792	1
8	1466	1
8	3430	1
8	1838	1
8	1702	1
8	2818	1
8	3363	1
8	1656	1
8	4749	1
8	355	1
8	1897	1
8	3092	1
8	3905	1
8	2806	1
8	3748	1
8	2136	1
8	4534	1
8	1388	1
8	1062	1
8	2483	1
9	4168	1
9	923	1
9	2736	1
9	4524	1
9	1960	1
9	4671	1
9	3766	1
9	1138	1
9	2815	1
9	3203	1
9	3183	1
9	2625	1
9	2343	1
9	3270	1
9	1171	1
9	723	1
9	4151	1
9	3454	1
9	2355	1
9	4830	1
9	3421	1
9	416	2
9	4309	1
9	4694	1
9	2891	1
9	2214	1
10	3142	1
10	4532	1
10	1960	1
10	4671	1
10	1613	1
10	1202	1
10	3214	1
10	1726	2
10	803	3
10	4397	4
10	4326	1
10	3415	1
10	4478	1
10	4110	1
10	1658	1
10	2978	1
10	3599	2
10	1207	1
10	4627	1
10	3882	1
10	370	1
10	2945	1
10	3629	1
10	1899	1
10	3316	1
10	1727	1
10	3387	1
10	4134	1
10	1618	1
11	3968	1
11	683	1
11	1658	1
11	3610	1
11	662	3
11	3672	1
11	443	1
11	1526	1
11	2633	1
11	4831	1
11	1997	1
11	3334	1
11	1292	1
11	996	1
11	3595	1
11	2792	1
11	1540	1
11	4131	1
11	3792	1
11	426	1
11	2246	1
11	3134	1
11	2286	1
11	1706	1
11	2760	1
11	3793	1
11	691	1
11	1086	1
11	1091	1
11	1492	1
11	3671	1
11	2632	1
11	424	1
11	2230	1
11	1008	1
12	3968	1
12	682	1
12	1508	1
12	4118	1
12	4437	1
12	2544	1
12	662	2
12	4283	1
12	410	2
12	3837	1
12	3805	1
12	2403	1
12	4968	1
12	4714	1
12	4737	1
12	1908	1
12	1341	1
12	1977	1
12	1879	1
12	530	1
12	3605	1
13	913	1
13	3946	1
13	942	1
13	2477	1
13	4650	1
13	323	1
13	3347	1
13	299	1
13	1578	1
13	1894	1
13	739	1
13	2322	1
13	3245	1
13	1514	1
13	3370	1
13	1140	2
13	497	1
13	662	6
13	406	1
13	685	1
13	1892	1
13	1678	1
13	1738	1
13	1888	1
13	3284	1
13	1290	1
13	4676	1
13	788	1
13	599	1
13	262	1
13	2673	1
13	1647	1
13	1988	1
13	3565	1
13	2979	1
13	3004	1
13	3409	1
13	1836	1
13	1292	1
13	1667	1
13	684	1
13	3932	1
13	4178	1
13	261	1
13	3365	1
13	1002	1
13	3478	1
13	487	1
13	2030	1
14	2850	1
14	362	1
14	4195	1
14	755	1
14	948	1
14	2484	1
14	2745	1
14	2714	1
14	3765	1
14	3316	1
14	3826	1
14	1069	1
14	1078	1
14	1291	1
14	2147	1
14	1909	1
14	4612	2
14	3772	1
14	546	2
14	1195	1
14	3409	1
14	3497	1
14	3047	1
14	4219	1
14	1443	1
14	4140	1
14	1155	1
14	1469	1
14	2981	1
14	2273	1
14	1679	1
14	4928	1
14	662	5
14	406	4
14	782	1
14	470	1
14	4373	1
14	273	1
14	1592	1
14	3619	1
14	834	1
14	2447	2
14	1002	1
14	4179	1
14	3001	1
14	629	1
14	1600	1
14	1068	1
14	1893	1
14	1702	1
14	2118	1
14	3296	1
14	3889	1
14	611	1
14	4801	1
14	796	1
14	2925	1
14	2773	1
14	4375	1
14	3090	1
14	3356	1
14	3410	1
14	4238	1
15	4523	1
15	4448	1
15	511	2
15	662	4
15	1890	2
15	1371	1
15	1586	1
15	1438	1
15	1416	1
15	1710	1
15	3518	1
15	2376	1
15	1807	1
15	4941	1
15	2363	1
15	3725	1
15	2671	1
15	2623	1
15	4978	1
15	2492	1
15	3951	1
15	2411	1
15	3838	1
15	1016	1
16	1784	1
16	4648	1
16	2497	1
16	675	1
16	1293	1
16	2962	1
16	4863	1
16	1825	1
16	4038	1
16	4409	1
16	2820	1
16	2239	1
16	2667	1
16	3033	1
16	4755	1
16	3299	1
16	4318	1
16	3290	1
16	4845	1
16	2339	1
16	4936	1
16	2569	1
16	3220	1
16	3637	1
16	1705	1
16	1315	1
16	3589	1
16	2817	1
16	4894	1
16	4189	1
16	2642	1
16	2491	1
16	1883	1
16	2547	1
16	3999	1
16	3067	1
16	4392	1
16	1229	1
16	1952	1
17	4145	1
17	1809	1
17	391	1
17	3806	1
17	2755	1
17	2440	1
17	918	1
17	3585	1
17	3593	1
17	1262	2
17	272	2
17	1899	1
17	4739	1
17	3335	3
17	3597	3
17	488	1
17	1135	1
17	1976	1
17	4941	4
17	4469	2
17	4023	1
17	1916	1
17	4500	1
17	3306	1
17	1279	1
17	708	1
17	3930	1
17	3216	1
17	4953	1
17	3943	1
17	3570	1
17	4129	1
17	2978	1
17	1071	1
17	4036	1
17	440	1
17	2605	1
17	691	2
17	1602	1
17	1762	1
17	3301	1
17	4716	1
17	1485	1
17	1626	1
18	2782	1
18	1770	1
18	4289	1
18	3166	1
18	755	1
18	3383	1
18	450	1
18	961	1
18	4895	1
18	2594	1
18	2618	1
18	242	1
18	4203	1
18	2459	1
18	2194	1
18	1608	1
18	3786	1
18	944	1
18	2642	1
18	2084	1
18	2059	1
18	4088	1
18	747	1
18	1711	1
18	2080	1
18	4268	1
18	1510	1
18	3753	1
18	1633	1
18	2185	1
18	763	1
18	3950	1
18	4214	1
18	4163	1
18	3722	1
18	2447	1
18	2903	1
18	3261	1
18	2265	1
18	441	1
18	1133	1
18	1671	1
18	1912	1
18	861	1
18	4941	1
19	2782	1
19	1770	1
19	4289	1
19	3166	1
19	755	1
19	3383	1
19	450	1
19	961	1
19	3624	1
19	3677	1
19	4563	1
19	2747	1
19	2459	1
19	2194	1
19	1112	1
19	1081	1
19	4233	1
19	861	1
19	4508	1
19	1913	2
19	4088	2
19	2111	1
19	763	2
19	3950	1
19	3687	1
19	3189	1
19	2666	1
19	1615	1
19	1050	2
19	3000	1
19	4094	1
19	4305	1
19	3757	1
19	4022	1
19	4319	1
19	3723	3
19	474	1
19	439	1
19	662	1
19	4120	1
19	1254	1
19	636	1
19	4293	1
19	4396	1
19	3711	1
19	4971	1
19	2159	1
19	4943	1
19	4994	1
19	272	1
19	3699	1
20	2738	1
20	2736	1
20	4137	1
20	2196	1
20	3451	1
20	4477	1
20	1953	1
20	2641	1
20	3964	1
20	623	1
20	4265	4
20	3693	1
20	3498	1
20	966	1
20	2665	1
20	2061	1
20	571	1
20	434	1
20	2551	1
20	2718	1
20	4909	1
20	2293	1
20	1806	1
20	1932	1
20	2088	1
20	1270	1
20	1899	1
20	1621	1
20	2837	1
20	4034	1
20	3520	1
20	588	2
20	1690	2
20	551	1
20	3116	1
20	1327	1
20	3286	1
20	3585	1
20	2976	1
20	2321	1
20	2296	1
20	1721	1
20	4712	1
21	3532	1
21	3960	1
21	2859	1
21	957	1
21	2319	1
21	3173	1
21	2311	1
21	1611	1
21	1129	1
21	944	1
21	1652	1
21	1576	1
21	3753	1
21	1633	3
21	1951	1
21	1289	2
21	1125	1
21	4122	1
21	763	2
21	2024	2
21	1615	1
21	501	2
21	2656	1
21	2172	1
21	1501	2
21	4222	1
21	2713	1
21	3950	1
21	1491	1
21	4647	1
21	2616	1
21	4509	1
21	3663	2
21	1062	1
21	2378	1
21	2708	1
21	3138	1
21	317	1
21	3424	1
21	3997	1
21	1026	1
21	4208	1
21	331	1
21	662	1
21	1835	1
21	787	1
21	4324	1
21	3593	1
21	1281	1
21	3599	1
21	2245	1
21	4402	1
21	2519	1
21	2379	1
21	1747	1
22	4870	1
22	4430	1
22	1406	1
22	449	1
22	2949	1
22	4007	1
22	1044	1
22	4451	1
22	3625	1
22	933	1
22	2257	1
22	4104	1
22	4916	2
22	1793	2
22	1634	2
22	1281	1
22	293	1
22	1217	1
22	763	3
22	3950	3
22	1501	4
22	759	1
22	566	1
22	1186	1
22	1691	2
22	2274	1
22	1220	1
22	871	2
22	3433	1
22	2102	1
22	2969	1
22	1852	1
22	4703	2
22	4225	1
23	4197	1
23	3108	1
23	2751	1
23	2065	1
23	453	1
23	608	1
23	1188	1
23	1720	1
23	1218	1
23	1489	1
23	2155	1
23	1634	1
23	967	1
23	1506	1
23	2124	1
23	1062	1
23	3640	1
23	856	2
24	2850	1
24	3642	1
24	4461	1
24	413	1
24	2248	1
24	969	1
24	608	1
24	1050	2
24	872	1
24	1271	3
24	3593	2
24	1232	1
24	1788	2
24	3753	1
24	763	2
24	1615	2
24	3639	1
24	3915	1
24	2676	1
24	2141	1
24	2401	1
24	572	1
24	1501	1
24	689	1
24	1273	1
